Athlete ID ,Day of Week (1 is Sunday),Date,FATIGUE,SLEEP QUALITY,GEN. SORNESS,STRESS,MOOD,HOURS SLEPT,,,,,,,,,
14,2,9/8/2014,5,5,4,4,5,10,,,,,,,,4,6
14,3,9/9/2014,4,5,4,4,4,8,,,,,,,,4,7.5
14,4,9/10/2014,3,4,3,4,4,9,,,,,,,,4,8
14,5,9/11/2014,3,4,3,2,3,9.5,,,,,,,,4,8
14,6,9/12/2014,2,3,4,2,4,8,,,,,,,,4,8
14,7,9/13/2014,2,2,4,4,4,8,,,,,,,,4,8
14,1,9/14/2014,4,4,4,2,4,11,,,,,,,,,
14,2,9/15/2014,4,4,4,2,4,8,,,,,,,,4,8
14,3,9/16/2014,3,3,3,2,4,7,,,,,,,,4,7
14,4,9/17/2014,3,4,4,2,4,9,,,,,,,,4,8
14,5,9/18/2014,2,5,3,2,4,10.5,,,,,,,,5,9.5
14,6,9/19/2014,3,4,3,2,2,10,,,,,,,,5,9.5
14,7,9/20/2014,2,4,2,4,4,7,,,,,,,,4,5
14,1,9/21/2014,3,2,4,2,4,8,,,,,,,,4,7.5
14,2,9/22/2014,4,4,4,3,3,9,,,,,,,,4,8
14,3,9/23/2014,2,4,3,2,3,9.5,,,,,,,,4,8
14,4,9/24/2014,2,4,4,2,3,8,,,,,,,,4,8
14,5,9/25/2014,2,4,4,1,4,8,,,,,,,,4,7
14,6,9/26/2014,3,3,4,4,3,9,,,,,,,,4,8
14,7,9/27/2014,2,4,4,3,5,9,,,,,,,,5,9
14,1,9/28/2014,4,5,4,2,4,9,,,,,,,,4,9
14,2,9/29/2014,3,4,4,2,3,8,,,,,,,,4,8
14,3,9/30/2014,3,4,4,3,3,9,,,,,,,,4,8
14,4,10/1/2014,4,5,4,2,4,9,,,,,,,,4,8
14,5,10/2/2014,3,4,4,2,2,8,,,,,,,,4,7
14,6,10/3/2014,4,5,4,2,4,10,,,,,,,,4,7
14,7,10/4/2014,3,4,4,2,1,8,,,,,,,,4,8
14,1,10/5/2014,3,4,2,2,3,9.5,,,,,,,,,
14,2,10/6/2014,3,3,2,3,3,8,,,,,,,,4,8
14,3,10/7/2014,2,4,2,3,4,7,,,,,,,,4,7
14,4,10/8/2014,2,5,3,2,4,9,,,,,,,,4,8
14,5,10/9/2014,3,5,4,3,4,9.5,,,,,,,,4,8
14,6,10/10/2014,3,3,4,3,4,8.5,,,,,,,,4,8
14,7,10/11/2014,3,5,4,2,4,9,,,,,,,,4,9
14,1,10/12/2014,4,4,4,3,4,7.5,,,,,,,,4,7
14,2,10/13/2014,2,2,2,2,3,9,,,,,,,,4,8
14,3,10/14/2014,3,4,2,3,4,8,,,,,,,,4,8
14,4,10/15/2014,3,4,4,3,4,9,,,,,,,,4,8
14,5,10/16/2014,3,4,3,3,4,10,,,,,,,,4,9
14,6,10/17/2014,3,4,3,2,4,8.5,,,,,,,,4,8
14,7,10/18/2014,4,4,4,2,4,8.5,,,,,,,,4,8
14,1,10/19/2014,4,5,4,2,4,9,,,,,,,,4,9
14,2,10/20/2014,1,4,4,2,3,5,,,,,,,,3,7
14,3,10/21/2014,3,2,4,1,4,8,,,,,,,,4,8
14,4,10/22/2014,4,4,4,3,4,9,,,,,,,,4,9
14,5,10/23/2014,4,5,2,4,4,9.5,,,,,,,,4,8
14,6,10/24/2014,4,4,4,3,4,8.5,,,,,,,,4,8
14,7,10/25/2014,3,4,4,2,4,8,,,,,,,,5,8
14,1,10/26/2014,4,4,4,4,4,8,,,,,,,,4,8
14,2,10/27/2014,3,4,4,3,4,7.5,,,,,,,,4,8
14,3,10/28/2014,3,3,4,3,4,8.5,,,,,,,,4,8
14,4,10/29/2014,4,4,4,2,4,9.5,,,,,,,,4,9
14,5,10/30/2014,3,4,3,2,4,8,,,,,,,,4,7
14,6,10/31/2014,4,4,4,3,4,9.5,,,,,,,,4,9
14,7,11/1/2014,3,3,4,4,4,8.5,,,,,,,,4,8
14,1,11/2/2014,3,4,4,3,4,9,,,,,,,,4,9
14,2,11/3/2014,4,4,5,3,4,9.5,,,,,,,,5,8
14,3,11/4/2014,4,4,4,3,4,7.5,,,,,,,,4,7
14,4,11/5/2014,3,3,4,4,4,8,,,,,,,,4,8
14,5,11/6/2014,3,4,4,3,4,8,,,,,,,,4,8
14,6,11/7/2014,3,2,4,4,5,8,,,,,,,,4,8
14,7,11/8/2014,4,4,4,3,4,9,,,,,,,,4,7
14,1,11/9/2014,4,4,4,3,3,9.5,,,,,,,,,
14,2,11/10/2014,3,4,4,3,4,9.5,,,,,,,,4,8
14,3,11/11/2014,4,4,4,4,4,10,,,,,,,,4,6.5
14,4,11/12/2014,3,4,4,3,3,9.5,,,,,,,,4,7
14,5,11/13/2014,3,4,4,3,4,8.5,,,,,,,,4,8
13,2,8/25/2014,4,4,4,3,4,9,,,,,,,,,
13,3,8/26/2014,4,5,4,4,4,9,,,,,,,,,
13,4,8/27/2014,4,5,4,4,3,9,,,,,,,,,
13,5,8/28/2014,3,4,3,4,4,9,,,,,,,,,
13,6,8/29/2014,4,3,4,4,4,8,,,,,,,,,
13,7,8/30/2014,3,5,3,4,4,8,,,,,,,,,
13,1,8/31/2014,3,4,2,4,4,7,,,,,,,,,
13,2,9/1/2014,4,5,4,3,4,9,,,,,,,,,
13,3,9/2/2014,4,5,4,4,4,10,,,,,,,,,
13,4,9/3/2014,4,4,4,4,4,9,,,,,,,,,
13,5,9/4/2014,4,5,3,4,4,9.5,,,,,,,,,
13,6,9/5/2014,3,4,4,4,4,9,,,,,,,,,
13,7,9/6/2014,3,5,3,4,4,8,,,,,,,,,
13,1,9/7/2014,3,4,3,4,4,9,,,,,,,,,
13,2,9/8/2014,4,4,4,4,4,11.5,,,,,,,,,
13,3,9/9/2014,3,4,4,4,4,8,,,,,,,,,
13,4,9/10/2014,3,4,3,4,4,9.5,,,,,,,,,
13,5,9/11/2014,4,5,4,4,4,10,,,,,,,,,
13,6,9/12/2014,3,4,3,4,4,8,,,,,,,,,
13,7,9/13/2014,4,4,2,4,3,8,,,,,,,,,
13,1,9/14/2014,3,4,4,4,4,7,,,,,,,,,
